method,ef_construction,search_width,k_children,n_probe,diversify_max,repair_min,parent_count,coverage_fraction,recall@k,avg_query_time_ms,candidate_size,notes
baseline,200,50,,,,,,,0.803,4.527,,
baseline,200,100,,,,,,,0.9436,7.124,,
baseline,200,150,,,,,,,0.9818000000000002,9.241,,
baseline,200,200,,,,,,,0.994,10.618,,
baseline,200,300,,,,,,,0.999,12.556,,
baseline,200,400,,,,,,,0.9996,13.830,,
baseline,300,50,,,,,,,0.797,4.602,,
baseline,300,100,,,,,,,0.9426000000000001,7.193,,
baseline,300,150,,,,,,,0.9818000000000001,9.211,,
baseline,300,200,,,,,,,0.9944000000000001,10.794,,
baseline,300,300,,,,,,,0.9987999999999999,12.849,,
baseline,300,400,,,,,,,0.9996,14.128,,
baseline,400,50,,,,,,,0.7976000000000001,4.533,,
baseline,400,100,,,,,,,0.9434000000000001,8.289,,
baseline,400,150,,,,,,,0.9822000000000001,9.128,,
baseline,400,200,,,,,,,0.9946,10.789,,
baseline,400,300,,,,,,,0.9992000000000001,12.741,,
baseline,400,400,,,,,,,0.9997999999999999,13.933,,
baseline,300,20,,,,,,,0.5384,2.660,,
baseline,300,30,,,,,,,0.6534,3.832,,
baseline,300,40,,,,,,,0.7362000000000001,4.175,,
baseline,300,50,,,,,,,0.7966,4.696,,
hybrid_unopt,100,,500,5,,,25,0.3551111111111111,0.1692,0.561,383.7345309381237,
hybrid_unopt,100,,500,8,,,25,0.3551111111111111,0.2274,0.785,596.7784431137725,
hybrid_unopt,100,,500,10,,,25,0.3551111111111111,0.2548,1.436,733.0439121756488,
hybrid_unopt,100,,500,12,,,25,0.3551111111111111,0.28,1.225,864.2694610778443,
hybrid_unopt,100,,800,5,,,25,0.3551111111111111,0.1692,0.610,383.7345309381237,
hybrid_unopt,100,,800,8,,,25,0.3551111111111111,0.2274,0.774,596.7784431137725,
hybrid_unopt,100,,800,10,,,25,0.3551111111111111,0.2548,0.991,733.0439121756488,
hybrid_unopt,100,,800,12,,,25,0.3551111111111111,0.28,1.141,864.2694610778443,
hybrid_unopt,100,,1000,5,,,25,0.3551111111111111,0.1692,0.704,383.7345309381237,
hybrid_unopt,100,,1000,8,,,25,0.3551111111111111,0.2274,0.858,596.7784431137725,
hybrid_unopt,100,,1000,10,,,25,0.3551111111111111,0.2548,1.165,733.0439121756488,
hybrid_unopt,100,,1000,12,,,25,0.3551111111111111,0.28,1.157,864.2694610778443,
hybrid_unopt,200,,500,5,,,12,0.196,0.1396,0.849,389.2015968063872,
hybrid_unopt,200,,500,8,,,12,0.196,0.1778,0.714,610.8562874251497,
hybrid_unopt,200,,500,10,,,12,0.196,0.1928,0.984,754.2994011976048,
hybrid_unopt,200,,500,12,,,12,0.196,0.2016,1.161,894.0,
hybrid_unopt,200,,800,5,,,12,0.196,0.1396,1.000,389.2015968063872,
hybrid_unopt,200,,800,8,,,12,0.196,0.1778,1.160,610.8562874251497,
hybrid_unopt,200,,800,10,,,12,0.196,0.1928,1.031,754.2994011976048,
hybrid_unopt,200,,800,12,,,12,0.196,0.2016,1.036,894.0,
hybrid_unopt,200,,1000,5,,,12,0.196,0.1396,0.618,389.2015968063872,
hybrid_unopt,200,,1000,8,,,12,0.196,0.1778,0.816,610.8562874251497,
hybrid_unopt,200,,1000,10,,,12,0.196,0.1928,0.918,754.2994011976048,
hybrid_unopt,200,,1000,12,,,12,0.196,0.2016,1.616,894.0,
hybrid_unopt,300,,500,5,,,18,0.2713333333333333,0.157,0.570,384.7185628742515,
hybrid_unopt,300,,500,8,,,18,0.2713333333333333,0.2036,0.745,598.9620758483034,
hybrid_unopt,300,,500,10,,,18,0.2713333333333333,0.2292,1.065,735.057884231537,
hybrid_unopt,300,,500,12,,,18,0.2713333333333333,0.2484,1.161,867.0459081836327,
hybrid_unopt,300,,800,5,,,18,0.2713333333333333,0.157,0.702,384.7185628742515,
hybrid_unopt,300,,800,8,,,18,0.2713333333333333,0.2036,0.757,598.9620758483034,
hybrid_unopt,300,,800,10,,,18,0.2713333333333333,0.2292,0.932,735.057884231537,
hybrid_unopt,300,,800,12,,,18,0.2713333333333333,0.2484,1.092,867.0459081836327,
hybrid_unopt,300,,1000,5,,,18,0.2713333333333333,0.157,0.704,384.7185628742515,
hybrid_unopt,300,,1000,8,,,18,0.2713333333333333,0.2036,0.710,598.9620758483034,
hybrid_unopt,300,,1000,10,,,18,0.2713333333333333,0.2292,0.984,735.057884231537,
hybrid_unopt,300,,1000,12,,,18,0.2713333333333333,0.2484,1.058,867.0459081836327,
hybrid_unopt,400,,500,5,,,21,0.31066666666666665,0.1708,0.673,384.71656686626744,
hybrid_unopt,400,,500,8,,,21,0.31066666666666665,0.2216,0.797,599.4510978043912,
hybrid_unopt,400,,500,10,,,21,0.31066666666666665,0.2492,1.241,736.6526946107784,
hybrid_unopt,400,,500,12,,,21,0.31066666666666665,0.2726,1.144,869.5768463073853,
hybrid_unopt,400,,800,5,,,21,0.31066666666666665,0.1708,0.628,384.71656686626744,
hybrid_unopt,400,,800,8,,,21,0.31066666666666665,0.2216,0.776,599.4510978043912,
hybrid_unopt,400,,800,10,,,21,0.31066666666666665,0.2492,0.935,736.6526946107784,
hybrid_unopt,400,,800,12,,,21,0.31066666666666665,0.2726,1.030,869.5768463073853,
hybrid_unopt,400,,1000,5,,,21,0.31066666666666665,0.1708,0.709,384.71656686626744,
hybrid_unopt,400,,1000,8,,,21,0.31066666666666665,0.2216,0.855,599.4510978043912,
hybrid_unopt,400,,1000,10,,,21,0.31066666666666665,0.2492,0.894,736.6526946107784,
